Time,Lon,Lat,W,T_max,S,P,W_mean,H_min,R,is_river
2025/4/8 14:03,106.59,26.628,12.28816738,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:04,106.59,26.628,13.21556801,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:05,106.59,26.628,6.765241137,11.01,1.8,0.92295,29.41807,85.9576,14.37696328704316,0
2025/4/8 14:06,106.59,26.628,9.46317137,11.01,1.8,0.92295,29.41807,85.9576,26.13993324916938,0
2025/4/8 14:07,106.59,26.628,9.908719416,11.01,1.8,0.92295,29.41807,85.9576,26.13993324916938,0
2025/4/8 14:08,106.59,26.628,9.601009408,11.01,1.8,0.92295,29.41807,85.9576,26.13993324916938,0
2025/4/8 14:09,106.59,26.628,4.655053564,11.01,1.8,0.92295,29.41807,85.9576,10.455973299667754,0
2025/4/8 14:10,106.59,26.628,11.35128373,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:11,106.59,26.628,5.104771249,11.01,1.8,0.92295,29.41807,85.9576,12.634301070431867,0
2025/4/8 14:12,106.59,26.628,3.349975894,11.01,1.8,0.92295,29.41807,85.9576,8.713311083056462,0
2025/4/8 14:13,106.59,26.628,0.488054049,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:14,106.59,26.628,10.70116502,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 14:15,106.59,26.628,4.344853286,11.01,1.8,0.92295,29.41807,85.9576,10.455973299667754,0
2025/4/8 14:16,106.59,26.628,10.85029495,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 14:17,106.59,26.628,12.38717151,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:18,106.59,26.628,14.78270323,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:19,106.59,26.628,5.154294834,11.01,1.8,0.92295,29.41807,85.9576,12.634301070431867,0
2025/4/8 14:20,106.59,26.628,12.87714905,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:21,106.59,26.628,6.10037193,11.01,1.8,0.92295,29.41807,85.9576,14.37696328704316,0
2025/4/8 14:22,106.59,26.628,13.17885729,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:23,106.59,26.628,11.99626458,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:24,106.59,26.628,8.237235254,11.01,1.8,0.92295,29.41807,85.9576,22.218943261793974,0
2025/4/8 14:25,106.59,26.628,13.03620694,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:26,106.59,26.628,9.242218848,11.01,1.8,0.92295,29.41807,85.9576,26.13993324916938,0
2025/4/8 14:27,106.59,26.628,9.394255745,11.01,1.8,0.92295,29.41807,85.9576,26.13993324916938,0
2025/4/8 14:28,106.59,26.628,6.446856922,11.01,1.8,0.92295,29.41807,85.9576,14.37696328704316,0
2025/4/8 14:29,106.59,26.628,10.02989184,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 14:30,106.59,26.628,6.049484555,11.01,1.8,0.92295,29.41807,85.9576,14.37696328704316,0
2025/4/8 14:31,106.59,26.628,14.46411684,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:32,106.59,26.628,14.26994256,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:33,106.59,26.628,4.427819875,11.01,1.8,0.92295,29.41807,85.9576,10.455973299667754,0
2025/4/8 14:34,106.59,26.628,13.36694644,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:35,106.59,26.628,11.40415697,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:36,106.59,26.628,11.33487785,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:37,106.59,26.628,10.57543621,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 14:38,106.59,26.628,12.03473468,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:39,106.59,26.628,6.560198337,11.01,1.8,0.92295,29.41807,85.9576,14.37696328704316,0
2025/4/8 14:40,106.59,26.628,15.77618953,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:41,106.59,26.628,2.980479667,11.01,1.8,0.92295,29.41807,85.9576,7.406314420597992,0
2025/4/8 14:42,106.59,26.628,11.40972012,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:43,106.59,26.628,13.26768012,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:44,106.59,26.628,9.195361035,11.01,1.8,0.92295,29.41807,85.9576,26.13993324916938,0
2025/4/8 14:45,106.59,26.628,10.37645744,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 14:46,106.59,26.628,8.648191452,11.01,1.8,0.92295,29.41807,85.9576,22.218943261793974,0
2025/4/8 14:47,106.59,26.628,7.118161289,11.01,1.8,0.92295,29.41807,85.9576,17.862287720265748,0
2025/4/8 14:48,106.59,26.628,4.059598513,11.01,1.8,0.92295,29.41807,85.9576,10.455973299667754,0
2025/4/8 14:49,106.59,26.628,10.59286666,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 14:50,106.59,26.628,5.010660161,11.01,1.8,0.92295,29.41807,85.9576,12.634301070431867,0
2025/4/8 14:51,106.59,26.628,3.632470032,11.01,1.8,0.92295,29.41807,85.9576,8.713311083056462,0
2025/4/8 14:52,106.59,26.628,7.669452116,11.01,1.8,0.92295,29.41807,85.9576,17.862287720265748,0
2025/4/8 14:53,106.59,26.628,3.868451921,11.01,1.8,0.92295,29.41807,85.9576,8.713311083056462,0
2025/4/8 14:54,106.59,26.628,17.24514318,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:55,106.59,26.628,11.79615042,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 14:56,106.59,26.628,10.02672894,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
